congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
116,House,20301,41,3,AL,200,,,"ROGERS, Mike Dennis",R000575,1958,,0.339,0.448,-6.0637,0.89908,57,2,,0.568,0.282
116,House,21102,41,7,AL,100,,,"SEWELL, Terri",S001185,1965,,-0.39,0.402,-0.96338,0.98353,58,0,,-0.589,-0.148
116,House,21192,41,2,AL,200,,,"ROBY, Martha",R000591,1976,,0.368,0.663,-2.56588,0.95672,58,1,,0.482,0.224
116,House,21193,41,5,AL,200,,,"BROOKS, Mo",B001274,1954,,0.606,-0.444,-14.00837,0.78543,58,8,,0.597,-0.601
116,House,21376,41,1,AL,200,,,"BYRNE, Bradley",B001289,1955,,0.544,0.288,-9.82718,0.84657,59,3,,0.628,-0.044
116,House,21500,41,6,AL,200,,,"PALMER, Gary James",P000609,1954,,0.768,-0.071,-6.11903,0.90148,59,2,,0.634,0.155
116,House,29701,41,4,AL,200,,,"ADERHOLT, Robert",A000055,1965,,0.362,0.588,-3.53627,0.94182,59,1,,0.568,0.282
116,House,14066,81,1,AK,200,,,"YOUNG, Donald Edwin",Y000033,1933,,0.28,0.014,-9.28239,0.83934,53,2,,0.441,-0.113
116,House,20305,61,3,AZ,100,,,"GRIJALVA, Raúl M.",G000551,1948,,-0.599,-0.245,-0.25165,0.99559,57,0,,-0.589,-0.148
116,House,20902,61,2,AZ,100,,,"KIRKPATRICK, Ann",K000368,1950,,-0.158,-0.01,-2.84533,0.95213,58,1,,-0.48,0.675
116,House,21103,61,4,AZ,200,,,"GOSAR, Paul",G000565,1958,,0.635,-0.385,-12.81824,0.80472,59,8,,0.786,-0.618
116,House,21105,61,6,AZ,200,,,"SCHWEIKERT, David",S001183,1962,,0.63,-0.317,-5.953,0.90402,59,3,,0.49,0.073
116,House,21502,61,7,AZ,100,,,"GALLEGO, Ruben",G000574,1979,,-0.452,-0.025,-0.22273,0.99623,59,0,,-0.589,-0.148
116,House,21705,61,5,AZ,200,,,"BIGGS, Andrew S.",B001302,1958,,0.904,-0.427,-3.22817,0.94586,58,0,,0.906,-0.423
116,House,21739,61,1,AZ,100,,,"O'HALLERAN, Thomas C.",O000171,1946,,-0.171,0.143,-4.2395,0.92951,58,2,,-0.401,0.916
116,House,21757,61,8,AZ,200,,,"LESKO, Debbie",L000589,1958,,0.678,-0.057,-4.88492,0.92054,59,3,,0.53,-0.107
116,House,21968,61,9,AZ,100,,,"STANTON, Greg",S001211,1970,,-0.489,-0.146,-0.19369,0.99672,59,0,,-0.589,-0.148
116,House,21106,42,1,AR,200,,,"CRAWFORD, Rick",C001087,1966,,0.381,0.466,-0.95945,0.98387,59,0,,0.432,0.902
116,House,21108,42,3,AR,200,,,"WOMACK, Steve",W000809,1957,,0.348,0.57,-1.07655,0.98192,59,0,,0.432,0.902
116,House,21503,42,2,AR,200,,,"HILL, French",H001072,1956,,0.475,0.193,-1.13132,0.98101,59,0,,0.432,0.902
116,House,21563,42,4,AR,200,,,"WESTERMAN, Bruce Eugene",W000821,1967,,0.546,0.304,-0.99272,0.98303,58,0,,0.43,0.903
116,House,15448,71,12,CA,100,,,"PELOSI, Nancy",P000197,1940,,-0.49,-0.206,-6e-05,0.99997,2,0,,0.0,0.0
116,House,20104,71,28,CA,100,,,"SCHIFF, Adam",S001150,1960,,-0.348,-0.13,-0.28027,0.99526,59,0,,-0.589,-0.148
116,House,20108,71,53,CA,100,,,"DAVIS, Susan A.",D000598,1944,,-0.343,-0.107,-0.2973,0.99497,59,0,,-0.589,-0.148
116,House,20307,71,22,CA,200,,,"NUNES, Devin",N000181,1973,,0.447,0.2,-0.9222,0.98423,58,0,,0.436,0.9
116,House,20310,71,38,CA,100,,,"SÁNCHEZ, Linda T.",S001156,1969,,-0.508,-0.14,-0.19456,0.9964,54,0,,-0.589,-0.148
116,House,20501,71,16,CA,100,,,"COSTA, Jim",C001059,1952,,-0.188,0.469,-4.24393,0.9306,59,2,,-0.437,0.822
116,House,20538,71,6,CA,100,,,"MATSUI, Doris",M001163,1944,,-0.435,-0.173,-0.2012,0.99648,57,0,,-0.589,-0.148
116,House,20702,71,9,CA,100,,,"McNERNEY, Jerry",M001166,1951,,-0.26,-0.146,-0.49507,0.99052,52,0,,-0.589,-0.147
116,House,20703,71,23,CA,200,,,"MCCARTHY, Kevin",M001165,1965,,0.462,0.197,-5.24438,0.9121,57,2,,0.42,0.067
116,House,20762,71,14,CA,100,,,"SPEIER, Karen Lorraine Jacqueline (Jackie)",S001175,1950,,-0.384,-0.459,-0.28132,0.99524,59,0,,-0.589,-0.148
